main_category,title,average_rating,rating_number,features,description,price,images,videos,store,categories,details,parent_asin,bought_together,subtitle,author
Prime Video,My Best Friend's Secret Life,3.9,246,"['IMDb 5.1', '1 h 26 min', '2022', '16+']","[""When teenager Maggie makes a new friend in the cool, edgy Laurel, she's thrilled. But Maggie soon realizes she's being groomed for something much worse than a best friend, and it's up to her mother Kate to save her.""]",4.99,"{'hi_res': [None], 'large': [None], 'thumb': [None], 'variant': ['MAIN']}","{'title': [], 'url': [], 'user_id': []}",,"['Suspense', 'Drama']","{""Audio languages"": [""English""], ""Subtitles"": [""English [CC]""], ""Directors"": [""Cartel Pictures LLC""], ""Producers"": [""Melinda Wells McCabe"", ""Kami Norton"", ""Stan Spry"", ""Eric Scott Woods""]}",B09KCMPQ1M,,,
Prime Video,Closing the Arctic Circle,2.3,2,"['52min', '2001', '7+']","['The Arctic: a cold and dangerous place, where the Polar bear is king. There is another Arctic, where the main character is a bold rodent: the lemming. Every third or fourth year, the arctic tundra teems with lemmings. Two expeditions investigate how these very different animals survive this most challenging of environments.']",None,"{'hi_res': [None], 'large': [None], 'thumb': [None], 'variant': ['MAIN']}","{'title': [], 'url': [], 'user_id': []}",,['Documentary'],"{""Subtitles"": [""None available""], ""Directors"": [""Bo Landin""], ""Producers"": [""Henrik Ekman"", ""Bo Landin""], ""Starring"": [""Bert Deivert""]}",B076BYJ77D,,,
Prime Video,Ghost in the Shell: the Laughing Man,4.8,353,"['IMDb 8.1', '2 h 40 min', '2007', '13+']",['Who is The LAUGhing Man? What are his motives? And how do you catch a criminal that you cannot see? Join the beautiful cyborg Motoko Kusanagi in a world of high technology and deadly conspiracies as she searches for the answers to these questions.'],7.99,"{'hi_res': [None], 'large': [None], 'thumb': [None], 'variant': ['MAIN']}","{'title': [], 'url': [], 'user_id': []}",,"['Animation', 'Anime', 'Cerebral', 'Futuristic']","{""Audio languages"": [""English""], ""Subtitles"": [""English [CC]""], ""Directors"": [""Kenji Kamiyama""], ""Producers"": [""Ken Iyadomi""], ""Starring"": [""Alison Matthews"", ""Russell Roberts"", ""David Kaye""]}",B0012DPEWI,,,
Movies & TV,Journey Of The Universe: Conversations,2.9,14,[],"[""This is an expansive, multidisciplinary project that re-imagines the universe story and the human role in the flourishing of the Earth community. The series invites viewers to become fellow travelers on an immense journey - from the beginnings of the universe, to the origins of life, to our current emergence as a planetary presence. This DVD set, consisting of twenty half-hour episodes, is designed to accompany the 'Journey of the Universe' documentary film.""]",20.91,"{'hi_res': ['https://m.media-amazon.com/images/I/81WULxrqNAL._SL1500_.jpg'], 'large': ['https://m.media-amazon.com/images/I/51pWJUjCX6L.jpg'], 'thumb': ['https://m.media-amazon.com/images/I/51pWJUjCX6L._SX38_SY50_CR,0,0,38,50_.jpg'], 'variant': ['MAIN']}","{'title': [], 'url': [], 'user_id': []}","Mary Evelyn Tucker  (Actor),     Brian Thomas Swimme  (Actor),     Patsy Northcutt  (Director),     Adam Loften  (Director)    &                   1                  more   Rated:    NR    Format: DVD","['Movies & TV', 'Boxed Sets', 'Documentary']","{""Genre"": ""Special Interests"", ""Format"": ""Multiple Formats, Box set, Color, Dolby, NTSC, Subtitled, Widescreen"", ""Contributor"": ""Mary Evelyn Tucker, Adam Loften, Brian Thomas Swimme, Patsy Northcutt"", ""Language"": ""English"", ""Number Of Discs"": ""4"", ""MPAA rating"": ""NR (Not Rated)"", ""Product Dimensions"": ""0.7 x 7.5 x 5.4 inches; 5.22 Ounces"", ""Director"": ""Patsy Northcutt, Adam Loften"", ""Media Format"": ""Multiple Formats, Box set, Color, Dolby, NTSC, Subtitled, Widescreen"", ""Run time"": ""10 hours"", ""Release date"": ""June 4, 2013"", ""Actors"": ""Mary Evelyn Tucker, Brian Thomas Swimme"", ""Studio"": ""Shelter Island"", ""Country of Origin"": ""USA"", ""Number of discs"": ""4""}",B00BIYQPQU,,,
Prime Video,Ghoul Scout Zombie Massacre,3.1,32,"['IMDb 4.2', '1 h 51 min', '2018', '18+']",['Four girls find themselves in a reform school run by an evil woman that joins forces with her equally demented scientist brother who creates a serum to turn attractive rocker guys into lobotomized sex slaves for his underground porn business.'],4.99,"{'hi_res': [None], 'large': [None], 'thumb': [None], 'variant': ['MAIN']}","{'title': [], 'url': [], 'user_id': []}",,"['Comedy', 'Horror']","{""Content advisory"": [""Nudity"", ""violence"", ""frightening scenes"", ""substance use"", ""alcohol use"", ""foul language"", ""sexual content""], ""Audio languages"": [""English""], ""Subtitles"": [""English [CC]""], ""Directors"": [""Eric Eichelberger""], ""Producers"": [""Eric Eichelberger""], ""Starring"": [""Penelope Grand"", ""Cookie Kwan"", ""Melissa Leone""]}",B08LDWFB98,,,
Movies & TV,Visitors,3.9,21,[],[],5.95,"{'hi_res': [None], 'large': ['https://m.media-amazon.com/images/I/213XYSVGGNL._AC_.jpg'], 'thumb': ['https://m.media-amazon.com/images/I/213XYSVGGNL._AC_SR38,50_.jpg'], 'variant': ['MAIN']}","{'title': [], 'url': [], 'user_id': []}",Format: VHS Tape,"['Movies & TV', 'Studio Specials', 'MGM Home Entertainment', 'All MGM Titles']","{""Package Dimensions"": ""7.32 x 4.19 x 1.12 inches; 6.13 Ounces"", ""Release date"": ""July 7, 1994"", ""Date First Available"": ""January 29, 2007"", ""Actors"": ""Kazan, Mcvey, Joyce, Woods"", ""Studio"": ""MGM/Ua Studios""}",6303113486,,,
Prime Video,Visions of Italy,4.4,8,"['2002', '3 episodes', 'TV-Y']","[""From the Alps to Sicily, tour all of Italy from a spectacular vantage point. Italians call their home The Beautiful Country, and it has never looked more breathtaking than this unique aerial tour. Take an emotional visit to your family's homeland, revisit favorite sights, or realize your dreams of discovering Italy for the first time â€“ whatever your inspiration â€“ you'll never have a better view.""]",None,"{'hi_res': [None], 'large': [None], 'thumb': [None], 'variant': ['MAIN']}","{'title': [], 'url': [], 'user_id': []}",,"['Documentary', 'Special Interest']","{""Subtitles"": [""None available""]}",B01KPCMIN4,,Season 1,
Movies & TV,Deadly Skies,3.8,43,[],"['Dr. Madison Kelsey (Rae Dawn Chong) discovers that an asteroid is on a collision course with the Earth. Running against time, Kelsey turns to ex-military scientist Richard Donovan (Antonio Sabato Jr.). Booted from the military because he is gay, Richard is bitter and angry, but finally agrees to help. Can they beat the clock and save the planet?']",12.49,"{'hi_res': ['https://m.media-amazon.com/images/I/71b76+b63cL._SL1500_.jpg'], 'large': ['https://m.media-amazon.com/images/I/51QhMeW3+VL.jpg'], 'thumb': ['https://m.media-amazon.com/images/I/51QhMeW3+VL._SX38_SY50_CR,0,0,38,50_.jpg'], 'variant': ['MAIN']}","{'title': [], 'url': [], 'user_id': []}","Antonio Sabato Jr.  (Actor),     Rae Dawn Chong  (Actor),     Sam Irvin  (Director)    &                   0                  more   Rated:    NR    Format: DVD","['Movies & TV', 'Genre for Featured Categories', 'Action & Adventure']","{""MPAA rating"": ""NR (Not Rated)"", ""Product Dimensions"": ""7.5 x 5.5 x 0.5 inches; 3.5 Ounces"", ""Director"": ""Sam Irvin"", ""Media Format"": ""NTSC"", ""Run time"": ""1 hour and 29 minutes"", ""Release date"": ""May 7, 2018"", ""Actors"": ""Antonio Sabato Jr., Rae Dawn Chong, Dominic Zamprogna, Michael Boisvert, Michael Moriarty"", ""Producers"": ""James Shavick"", ""Studio"": ""Here Media"", ""Writers"": ""Lindsay James"", ""Country of Origin"": ""USA"", ""Number of discs"": ""1""}",B07CPF7NFZ,,,
Movies & TV,Battle 2 [VHS],5.0,1,[],[],None,"{'hi_res': [None], 'large': ['https://m.media-amazon.com/images/I/21WTH9B0J2L._AC_.jpg'], 'thumb': ['https://m.media-amazon.com/images/I/21WTH9B0J2L._AC_SR38,50_.jpg'], 'variant': ['MAIN']}","{'title': [], 'url': [], 'user_id': []}",Format: VHS Tape,"['Movies & TV', 'Movies']","{""Package Dimensions"": ""7.32 x 4.19 x 1.12 inches; 6.13 Ounces"", ""Release date"": ""August 22, 2000"", ""Date First Available"": ""June 16, 2006"", ""Actors"": ""Apocalypse Zero"", ""Studio"": ""Media Blasters""}",B00004TLMT,,,
Movies & TV,The Hitcher [VHS],4.7,959,[],"[""Pretty boy actor C. Thomas Howell stars in this dark, violent suspense film about the strange psychological bond between a traveling serial killer and one of his intended victims. Driving cross-country from Chicago to San Diego, Jim (Howell) narrowly avoids an accident when he falls asleep at the wheel. He picks up a hitchhiker to help stay awake, but within five minutes, the erratic John Ryder (Rutger Hauer) has threatened not only Jim's life, but also his manhood, brandishing a switchblade to the boy's crotch and ordering him to keep driving. Jim manages to escape, but soon Ryder begins a game of cat-and-mouse across the Texas highways, taunting the lad from the windows of passing cars, then leaving the corpses of his victims in their vehicles by the side of the road for Jim to discover. A sympathetic face arrives in the form of Nash (Jennifer Jason Leigh), the waitress at an otherwise deserted truck stop in this bleak, abandoned landscape, but the local police soon arrive, intent on hanging Jim out to dry for the string of grisly murders. The stakes continue to mount in Ryder's little game until Jim finds himself embroiled in a statewide manhunt with Nash at his side. Former cinematographer Robert Harmon made his directorial debut with this popular thriller; screenwriter Eric Red, also making his debut, would go on to write similarly brooding genre fare including Near Dark, Bad Moon, and Alien 3.""]",21.99,"{'hi_res': [None], 'large': ['https://m.media-amazon.com/images/I/512W7P887TL._AC_.jpg'], 'thumb': ['https://m.media-amazon.com/images/I/512W7P887TL._AC_SR38,50_.jpg'], 'variant': ['MAIN']}","{'title': [], 'url': [], 'user_id': []}",Rated:    R    Format: VHS Tape,"['Movies & TV', 'Studio Specials', 'Warner Home Video', 'Warner Video Bargains', 'Action & Adventure']","{""Genre"": ""Mystery & Thrillers"", ""Format"": ""Color, Widescreen, NTSC"", ""Contributor"": ""Howell, Demunn, Jack, Hauer, Leigh"", ""Is Discontinued By Manufacturer"": ""No"", ""Package Dimensions"": ""7.32 x 4.19 x 1.12 inches; 6.13 Ounces"", ""Release date"": ""February 23, 1999"", ""Date First Available"": ""October 26, 2006"", ""Actors"": ""Hauer, Howell, Leigh, Demunn, Jack"", ""Studio"": ""Hbo Home Video""}",078311513X,,,
Movies & TV,Duma (Widescreen Edition),4.7,762,[],"['Product Description', 'Duma (DVD) (WS)', 'Set in the exotic country of South Africa, this powerful adventure film tells the story of the unbreakable friendship between a cheetah named Duma--the Swahili word for male cheetah cub--and an intrepid young boy named Xan (Alexander Michaletos), who faces the true test of love when he must cross the whole of southern Africa to return his best friend to his rightful home in the wilderness. On his journey, Xan learns that everything always changes, but not love.', ']]>', 'Amazon.com', ""This African tale follow the rhythms of director Carroll Ballard's earlier films"", 'The Black Stallion', 'and', 'Fly Away Home', ', namely a child is drawn into the mysteries and magic of an animal. Xan (newcomer Alexander Michaletos) is a 12-year-old living in South Africa with his parents (Campbell Scott and Hope Davis, who appeared as a much different couple three years earlier in', 'The Secret Life of Dentists', "") when they find an abandoned baby cheetah. They bring it up as their own and name it the Swahili word for cheetah, Duma. After some time, the creature is too big to stay domesticated and Dad tells the boy they will have to journey back to Duma's home to set him free. A sickness makes the family pull up stakes and head to the city where Xan and Duma don't fare well. Xan must take Duma on his own to set him free. To tell more would be a crime. As with any Ballard film, the story is subtext, the visuals rule. First-time cinematographer Werner Maritz fills the screen with the desert landscape and is able to capture the magnificent speed of the cheetah. Ballard's films seem to build on their own inertia, creating scenes that seem to be simply happening instead of scripted, although this often suffers in the balance of wonderment versus all-too-lucky occurrences. Based on the children's picture book/memoir"", 'How It Was with Dooms', 'by Xan and Carol Cawthra Hopcraft, this is a film worth seeking out, especially for families and kids above 5 years old.', '--Doug Thomas']",4.49,"{'hi_res': [None, 'https://m.media-amazon.com/images/I/91QpnXwGKOL._SL1500_.jpg'], 'large': ['https://m.media-amazon.com/images/I/51MQgQVp8cL.jpg', 'https://m.media-amazon.com/images/I/6172fY8ZMTL.jpg'], 'thumb': ['https://m.media-amazon.com/images/I/51MQgQVp8cL._SX38_SY50_CR,0,0,38,50_.jpg', 'https://m.media-amazon.com/images/I/6172fY8ZMTL._SX38_SY50_CR,0,0,38,50_.jpg'], 'variant': ['MAIN', 'PT01']}","{'title': [], 'url': [], 'user_id': []}","Carroll Ballard  (Director),     Alexander Michaletos  (Actor),     Eamonn Walker  (Actor)    &                   0                  more   Rated:    PG    Format: DVD","['Movies & TV', ""Today's Deals"", 'Featured Deals & New Releases']","{""Genre"": ""Kids & Family, Drama, Action & Adventure"", ""Format"": ""Multiple Formats, Color, AC-3, Closed-captioned, NTSC, Dolby, Dubbed, Subtitled, Widescreen"", ""Contributor"": ""Carol Cawthra Hopcraft, Karen Janszen, Doug Claybourne, Carol Flint, Hope Davis, Mark St. Germain, Hunt Lowry, Eamonn Walker, Kristin Harms, John Wells, Xan Hopcraft, Campbell Scott, Stacy Cohen, E.K. Gaylord II, Carroll Ballard, Alexander MichaletosCarol Cawthra Hopcraft, Karen Janszen, Doug Claybourne, Carol Flint, Hope Davis, Mark St. Germain, Hunt Lowry, Eamonn Walker, Kristin Harms, John Wells, Xan Hopcraft, Campbell Scott, Stacy Cohen, E.K. Gaylord II, Carroll Ballard, Alexander Michaletos  See more"", ""Language"": ""English (Dolby Digital 5.1), Unqualified"", ""Runtime"": ""1 hour and 40 minutes"", ""Is Discontinued By Manufacturer"": ""No"", ""MPAA rating"": ""PG (Parental Guidance Suggested)"", ""Product Dimensions"": ""7.5 x 5.5 x 0.5 inches; 3.28 Ounces"", ""Item model number"": ""WHV38982DVD"", ""Director"": ""Carroll Ballard"", ""Media Format"": ""Multiple Formats, Color, AC-3, Closed-captioned, NTSC, Dolby, Dubbed, Subtitled, Widescreen"", ""Run time"": ""1 hour and 40 minutes"", ""Release date"": ""May 15, 2007"", ""Actors"": ""Alexander Michaletos, Eamonn Walker, Campbell Scott, Hope Davis"", ""Subtitles"": ""English, Spanish, French"", ""Producers"": ""Doug Claybourne, John Wells, Hunt Lowry, E.K. Gaylord II, Kristin Harms"", ""Studio"": ""WarnerBrothers"", ""Writers"": ""Karen Janszen, Carol Flint, Mark St. Germain"", ""Number of discs"": ""1""}",B0009XRZVU,,,
Prime Video,A Woman of Substance,3.8,6,"['1985', '3 episodes', 'TV-14']",['This star-studded adaptation of Barbara Taylor Bradford’s bestselling book tracks the remarkable rise of Emma Harte (Jenny Seagrove) from servant girl to business tycoon.'],None,"{'hi_res': [None], 'large': [None], 'thumb': [None], 'variant': ['MAIN']}","{'title': [], 'url': [], 'user_id': []}",,"['Suspense', 'Romance', 'Drama']","{""Content advisory"": [""Nudity"", ""violence"", ""alcohol use"", ""foul language"", ""sexual content""], ""Audio languages"": [""English""], ""Subtitles"": [""English [CC]""], ""Directors"": [""Don Sharp""], ""Starring"": [""Jenny Seagrove"", ""Deborah Kerr"", ""Liam Neeson""]}",B07Y9FL31F,,UnentitledUnentitled,
Movies & TV,Yoga Now 3 DVD Set,3.8,34,[],"['Yoga Now begins with yoga-cardio fusion: fat burning cardio workout techniques plus the power of yoga to create lean muscle and a healthy sense of self. Plus, it includes the tools you need to keep achieving success on any busy schedule. This is the system you can realistically follow every day of your life.', ""20 year practicioner and actress Mariel Hemingway and acclaimed yoga expert Rodney Yee have combined the best of yoga, cardio and nutrition in Yoga Now, a system anyone can do. This is America's yoga, totally demystified for the comfort and confidence youneed to stick withthe program. Youll even find special viewing options that keep up with your skills: one focused on using simple yoga tools to make poses easier to achieve, plus three segment you can view with verbal instruction once you are familiar witht the sequences. You don't have to turn yourself into a pretzle to make it work and you don't ahave to deprive your self to loose weight with Yoga Now. With four complete yoga practices and tools that give you the support and inspiration you need every day, Yoga Now makes it easy to succeed at unveiling your true yoga-fit body. Recommit to being true to you.""]",17.96,"{'hi_res': [None, None], 'large': ['https://m.media-amazon.com/images/I/510V20WZAZL.jpg', 'https://m.media-amazon.com/images/I/51Z9HGZ5QAL.jpg'], 'thumb': ['https://m.media-amazon.com/images/I/510V20WZAZL._SX38_SY50_CR,0,0,38,50_.jpg', 'https://m.media-amazon.com/images/I/51Z9HGZ5QAL._SX38_SY50_CR,0,0,38,50_.jpg'], 'variant': ['MAIN', 'PT01']}","{'title': [], 'url': [], 'user_id': []}","Rodney Yee  (Actor),     Mariel Hemingway  (Actor)    Rated:    Unrated    Format: DVD","['Movies & TV', 'Boxed Sets', 'Fitness & Yoga']","{""Genre"": ""Exercise & Fitness"", ""Format"": ""Box set, Closed-captioned, Color, DVD, NTSC"", ""Contributor"": ""Rodney Yee, Mariel Hemingway"", ""Language"": ""Unqualified (DTS ES 6.1)"", ""Number Of Discs"": ""3"", ""Aspect Ratio"": ""1.33:1"", ""Is Discontinued By Manufacturer"": ""No"", ""MPAA rating"": ""Unrated (Not Rated)"", ""Package Dimensions"": ""7.7 x 5.5 x 2.5 inches; 1 Pounds"", ""Media Format"": ""Box set, Closed-captioned, Color, DVD, NTSC"", ""Run time"": ""1 hour and 40 minutes"", ""Release date"": ""September 20, 2005"", ""Actors"": ""Rodney Yee, Mariel Hemingway"", ""Studio"": ""Gaiam"", ""Number of discs"": ""3""}",B000A6CL5G,,,
Prime Video,Doubt,4.6,74,"['IMDb 5.8', '2017', '13 episodes', 'TV-14']","['Doubt stars Katherine Heigl as Sadie Ellis, a brilliant attorney at a boutique firm who starts to fall for her charismatic client, Billy Brennan, an altruistic pediatric surgeon recently accused of murdering his girlfriend 24 years ago.']",19.99,"{'hi_res': [None], 'large': [None], 'thumb': [None], 'variant': ['MAIN']}","{'title': [], 'url': [], 'user_id': []}",,['Drama'],"{""Audio languages"": [""English""], ""Subtitles"": [""English [CC]""], ""Directors"": [""Nicole Rubio"", ""Matt Earl Beesley"", ""Adam Bernstein"", ""Jonathan Brown"", ""Rob Greenlea"", ""Jerry Levine"", ""Christopher Misiano"", ""Tony Phelan"", ""James Strong"", ""Jeannot Szwarc""], ""Starring"": [""Katherine Heigl"", ""Dul\u0439 Hill"", ""Laverne Cox""]}",B01N16EE0K,,Season 1,
Movies & TV,Finding Me: The Series,5.0,1,[],"['Finding Me: The Series continues the dramatic journey of lovable, but often confused, Faybien Allen, as he navigates complex relationships with lovers and friends. Along the way, best friends Greg and Tammy encounter situations that bring on the need for self-reflection. This urban-based series delves into the grittier path of self discovery through the eyes of newcomer Omar (the directionless ""thug"").']",None,"{'hi_res': [None, None, None, None, None, None, None, None, None], 'large': ['https://m.media-amazon.com/images/I/51bEjRr70QL.jpg', 'https://m.media-amazon.com/images/I/51aOr8JzjFL.jpg', 'https://m.media-amazon.com/images/I/51MKmlI6UWL.jpg', 'https://m.media-amazon.com/images/I/51dFqw1ap+L.jpg', 'https://m.media-amazon.com/images/I/6140XXxG+gL.jpg', 'https://m.media-amazon.com/images/I/51Vp+Mbgz7L.jpg', 'https://m.media-amazon.com/images/I/41X1GnD55jL.jpg', 'https://m.media-amazon.com/images/I/41iRMAGd4BL.jpg', 'https://m.media-amazon.com/images/I/5156a5nJByL.jpg'], 'thumb': ['https://m.media-amazon.com/images/I/51bEjRr70QL._SX38_SY50_CR,0,0,38,50_.jpg', 'https://m.media-amazon.com/images/I/51aOr8JzjFL._SX38_SY50_CR,0,0,38,50_.jpg', 'https://m.media-amazon.com/images/I/51MKmlI6UWL._SX38_SY50_CR,0,0,38,50_.jpg', 'https://m.media-amazon.com/images/I/51dFqw1ap+L._SX38_SY50_CR,0,0,38,50_.jpg', 'https://m.media-amazon.com/images/I/6140XXxG+gL._SX38_SY50_CR,0,0,38,50_.jpg', 'https://m.media-amazon.com/images/I/51Vp+Mbgz7L._SX38_SY50_CR,0,0,38,50_.jpg', 'https://m.media-amazon.com/images/I/41X1GnD55jL._SX38_SY50_CR,0,0,38,50_.jpg', 'https://m.media-amazon.com/images/I/41iRMAGd4BL._SX38_SY50_CR,0,0,38,50_.jpg', 'https://m.media-amazon.com/images/I/5156a5nJByL._SX38_SY50_CR,0,0,38,50_.jpg'], 'variant': ['MAIN', 'PT01', 'PT02', 'PT03', 'PT04', 'PT05', 'PT06', 'PT07', 'PT08']}","{'title': [], 'url': [], 'user_id': []}","RayMartell Moore  (Actor),     Eugene E. Turner  (Actor),     Roger S. Omeus, Jr.  (Director)    &                   0                  more   Rated:    NR    Format: DVD-R  This title is manufactured on demand using DVD-R, when sold by Amazon.com.  Learn more   What's this?","['Movies & TV', 'Genre for Featured Categories', 'LGBT']","{""MPAA rating"": ""NR (Not Rated)"", ""Package Dimensions"": ""7.1 x 5.42 x 0.58 inches; 2.93 Ounces"", ""Director"": ""Roger S. Omeus, Jr."", ""Run time"": ""4 hours and 41 minutes"", ""Actors"": ""RayMartell Moore, Eugene E. Turner, Kenyon L. O'Brien, Bry'Nt, Isabelle Pierre"", ""Studio"": ""Ome Productions LLC Films"", ""Number of discs"": ""2""}",B00HU8K63Q,,,
Prime Video,Michael Jordan's Playground,4.5,39,"['IMDb 7.3', '43min', '1997', '7+']","[""Inspired by the story of one of the NBA's brightest stars, Michael Jordan's Playground features Jordan in his acting debut, as he encourages a young player who has just been cut from his high school team. This unique video also captures Jordan's most exciting moments on the court and conveys Michael's own insights about how hard work and dedication will help you reach your goals.""]",7.99,"{'hi_res': [None], 'large': [None], 'thumb': [None], 'variant': ['MAIN']}","{'title': [], 'url': [], 'user_id': []}",,"['Documentary', 'Special Interest']","{""Audio languages"": [""English""], ""Subtitles"": [""English [CC]""], ""Directors"": [""Zack Snyder""], ""Producers"": [""Michael Antinoro"", ""Nancy DiToro""], ""Starring"": [""Michael Jordan""]}",B00OWZRKP2,,,
Movies & TV,Bad Company,4.3,146,[],['VHS TAPE AND BOX IN EXCELLENT CONDITION'],None,"{'hi_res': [None], 'large': ['https://m.media-amazon.com/images/I/418F40QT28L._AC_.jpg'], 'thumb': ['https://m.media-amazon.com/images/I/418F40QT28L._AC_SR38,50_.jpg'], 'variant': ['MAIN']}","{'title': [], 'url': [], 'user_id': []}","Jeff Bridges  (Actor),     Barry Brown  (Actor),     Robert Benton  (Director)    &                   0                  more   Rated:    PG    Format: VHS Tape","['Movies & TV', 'Movies']","{""Package Dimensions"": ""7.32 x 4.19 x 1.12 inches; 6.13 Ounces"", ""Director"": ""Robert Benton"", ""Run time"": ""1 hour and 34 minutes"", ""Date First Available"": ""August 3, 2005"", ""Actors"": ""Jeff Bridges, Barry Brown, Jim Davis, David Huddleston"", ""Studio"": ""Paramount"", ""Producers"": ""Stanley R. Jaffe""}",B000AOG25I,,,
Prime Video,Batman: Gotham By Gaslight,4.5,2567,"['1 h 17 min', '2017', 'R']","[""It's Batman vs. Jack the Ripper in an Elseworld's adventure that imagines the Dark Knight over a hundred years ago in a turn-of-the-century Gotham.""]",13.49,"{'hi_res': [None], 'large': [None], 'thumb': [None], 'variant': ['MAIN']}","{'title': [], 'url': [], 'user_id': []}",,"['Adventure', 'Action']","{""Audio languages"": [""English""], ""Subtitles"": [""English [CC]""], ""Directors"": [""Sam Liu""], ""Producers"": [""Bruce Timm""], ""Starring"": [""Bruce Greenwood"", ""Jennifer Carpenter"", ""Scott Patterson""]}",B075SN3HKW,,,
Movies & TV,Rosa Parks Story,4.7,438,[],['Rosa Parks Story'],14.57,"{'hi_res': ['https://m.media-amazon.com/images/I/71wcAJLhU4L._SL1500_.jpg', 'https://m.media-amazon.com/images/I/81ADo3C4rrL._SL1500_.jpg'], 'large': ['https://m.media-amazon.com/images/I/51t5T7-FQwL.jpg', 'https://m.media-amazon.com/images/I/61JZTS-oQfL.jpg'], 'thumb': ['https://m.media-amazon.com/images/I/51t5T7-FQwL._SX38_SY50_CR,0,0,38,50_.jpg', 'https://m.media-amazon.com/images/I/61JZTS-oQfL._SX38_SY50_CR,0,0,38,50_.jpg'], 'variant': ['MAIN', 'BACK']}","{'title': [], 'url': [], 'user_id': []}",Rated:    Unrated    Format: DVD,"['Movies & TV', 'Genre for Featured Categories', 'Documentary']","{""Is Discontinued By Manufacturer"": ""No"", ""MPAA rating"": ""Unrated (Not Rated)"", ""Package Dimensions"": ""7.1 x 5.42 x 0.58 inches; 3.37 Ounces"", ""Media Format"": ""NTSC"", ""Release date"": ""April 12, 2011"", ""Studio"": ""Xenon""}",B004VWKCTC,,,
Prime Video,Odd Brodsky,3.7,128,"['IMDb 6.2', '1 h 33 min', '2016', '13+']","[""Audrey Brodsky quits her dreary desk job to follow her childhood dream of becoming an actress.  When she meets an aspiring cameraman on the internet, and moves in with a sexy new roommate, the adventure of her life finally begins.  Winner of 20 film festival awards, this quirky, bittersweet comedy is about following your dreams and discovering what's most important in life.""]",None,"{'hi_res': [None], 'large': [None], 'thumb': [None], 'variant': ['MAIN']}","{'title': [], 'url': [], 'user_id': []}",,"['Comedy', 'Arthouse', 'Romance']","{""Subtitles"": [""None available""], ""Directors"": [""Cindy Baer""], ""Producers"": [""Cindy Baer"", ""Joshua Baer"", ""Christo Dimassis"", ""Sharon A. Fox"", ""Thomai Hatsios"", ""Richard Irving III"", ""Jonny Ramos"", ""Tim Smith""], ""Starring"": [""Tegan Ashton Cohan"", ""Matthew Kevin Anderson"", ""Scotty Dickert""]}",B01MQSZYWY,,,
Prime Video,40 Days At Base Camp,4.1,54,"['55min', '2013', '13+']","[""Climbing the planet's highest mountain is no longer a challenge for only the bravest and most skilled. A sacred deity to the local population, Mount Everest has become one of the globe's most extreme playgrounds. The mountain is laden with amateur climbers queuing at 28,000ft for a chance to stand on top of the world - this portrait of modern-day mountaineering is as fascinating as it is alarming.""]",7.99,"{'hi_res': [None], 'large': [None], 'thumb': [None], 'variant': ['MAIN']}","{'title': [], 'url': [], 'user_id': []}",,"['Documentary', 'Cerebral', 'Downbeat', 'Touching']","{""Content advisory"": [""Violence"", ""foul language""], ""Audio languages"": [""English""], ""Subtitles"": [""English [CC]"", ""Deutsch [UT]"", ""Italiano [CC]"", ""Portugu\u00eas [SDH]""], ""Directors"": [""Dianne Whelan""]}",B0741BHBRT,,,
Prime Video,Shadow People,3.9,736,"['IMDb 3.1', '1 h 28 min', '2013', 'PG-13']","[""In the 70's, patients in a sleep study reported seeing shadowy intruders and then died in their sleep. Now, a radio host and CDC investigator research a new outbreak. Based on true events.""]",7.99,"{'hi_res': [None], 'large': [None], 'thumb': [None], 'variant': ['MAIN']}","{'title': [], 'url': [], 'user_id': []}",,"['Science Fiction', 'Horror', 'Eerie', 'Frightening']","{""Audio languages"": [""English""], ""Subtitles"": [""English [CC]""], ""Directors"": [""Matthew Arnold""], ""Producers"": [""James Gibb"", ""Nick Thurlow"", ""Todd Williams"", ""Andrew Mann"", ""Travis Mann"", ""Paul Pender"", ""John Portnoy"", ""Michael Ohoven"", ""Rob Baker"", ""Mark Moran""], ""Starring"": [""Dallas Roberts"", ""Alison Eastwood"", ""Anne Dudek""]}",B00BWJ8GOA,,,
Prime Video,The Client List,4.6,1142,"['IMDb 5.6', '1 h 28 min', '2010', 'X-Ray', '16+']","['Jennifer Love Hewitt stars in her sexiest role ever as Samantha Horton, a mother and housewife who takes on a job at a massage parlor and becomes a call girl. Also starring Golden Globe (R) award winner Cybill Shepherd, The Client List is an unforgettable descent into sex, seduction and a scandal that would change the lives of one small Texas town forever.']",14.09,"{'hi_res': [None], 'large': [None], 'thumb': [None], 'variant': ['MAIN']}","{'title': [], 'url': [], 'user_id': []}",,"['Drama', 'Cerebral', 'Emotional', 'Sensual']","{""Content advisory"": [""Substance use"", ""alcohol use"", ""foul language"", ""sexual content""], ""Audio languages"": [""English""], ""Subtitles"": [""English [CC]""], ""Directors"": [""Eric Laneuville""], ""Producers"": [""Ted Bauman"", ""Lynne Bespflug"", ""Nicole Taylor""], ""Starring"": [""Jennifer Hewitt"", ""Teddy Sears"", ""Sonja Bennett""]}",B0094M4O84,,,
